Longitude,Latitude
-5.171215,43.06957
-6.036635,43.025312
-7.679727,40.388521
-7.790437,40.309587
-7.47334,43.789352
-6.575039,42.910697
-5.132756,43.495722
-7.787378,40.393618
-4.941888,43.353098
-7.621731,40.341695
-7.645674,40.365428
-7.642539,40.363166
-6.99,42.57
-7.95,43.299999
-7.1,42.93
-7.01,41.939999
-7.35,42.669998
-4.79,43.290001
-5.51,42.830002
-5.03,43.110001
-6.24,43.09
-6.52,42.200001
-6.76,42.299999
-6.98,42.84
-7.45,43.48
-6.6,43.279999
-6.71,43.470001
-6.96,43.560001
-8.07,43.75
-6.74,42.84
-8.07,43.66
-7.1,43.02
-4.78,43.02
-7.09,43.200001
-8.08,43.209999
-6.76,42.119999
-4.78,43.110001
-5.52,43.099998
-6.61,42.919998
-7.24,42.299999
-6.39,42.290001
-7.24,42.209999
-6.24,43
-7.11,42.57
-6.74,42.75
-7.33,43.48
-5.76,43
-8.07,43.48
-8.32,43.310001
-6.84,43.380001
-4.78,43.200001
-6.11,43.09
-6.36,43.099998
-5.52,43.189999
-5.89,43.09
-6.64,42.200001
-6.86,42.75
-6.98,42.75
-7.21,43.380001
-8.07,43.389999
-5.4,43.189999
-6.11,43.18
-6.86,42.84
-7.82,43.66
-8.08,43.299999
-6.72,43.200001
-6.84,43.470001
-6.97,43.290001
-5.39,43.009998
-5.39,42.919998
-5.28,43.200001
-6.48,43.099998
-5.88,43
-6.87,42.389999
-7.95,43.48
-8.08,43.029999
-7.21,43.290001
-6.96,43.380001
-4.91,43.110001
-6.86,42.93
-7.09,43.110001
-6.61,43.009998
-6.73,43.110001
-6.98,43.02
-7.82,43.57
-7.94,43.75
-6.96,43.470001
-7.33,43.389999
-5.4,43.099998
-6.99,42.66
-7.7,43.75
-4.91,43.290001
-5.29,43.470001
-5.52,43.009998
-6.63,42.290001
-5.15,43.02
-5.89,43.18
-6.97,43.200001
-7.09,43.290001
-4.91,43.200001
-7.49,42.220001
-5.15,43.110001
-7.95,43.66
-9.06,42.860001
-7.11,42.66
-7.36,42.220001
-5.16,43.470001
-7.7,43.66
-7.95,43.389999
-8.2,43.310001
-5.27,43.110001
-5.63,42.919998
-6.85,43.02
-6.88,42.119999
-7.7,43.48
-5.03,43.290001
-6.73,43.02
-7.83,43.48
-7.95,43.57
-5.27,43.02
-6.61,42.830002
-5.03,43.200001
-6.12,43
-7.09,43.380001
-7.96,43.029999
-7.82,43.75
-7.57,43.66
-7.58,43.48
-6.72,43.290001
-8.2,43.400002
-7.1,42.84
-6.76,42.209999
-6.85,43.200001
-7.08,43.470001
-5.82,43.139999
-4.91,43.150002
-6.43,42.880001
-6.19,42.849998
-6.55,43.18
-6.66,42.110001
-6.44,42.259998
-6.73,42.82
-6.62,42.77
-5.53,42.889999
-6.58,42.27
-0.02,42.59
-5.51,42.83
-7.01,41.94
-7.2,43.56
-6.73,43.11
-6.52,42.2
0.13,42.64
-5.03,43.2
-3.77,41.05
-5.4,43.19
-6.72,43.2
-6.61,43.01
-4.12,40.6
-3.65,41.05
-4.01,40.87
-3.89,40.69
-6.61,42.92
-7.33,43.39
-7.09,43.38
-5.15,43.11
-8.2,43.31
-6.76,42.21
-8.32,43.31
-6.63,42.29
-6.61,42.83
-3.89,40.78
-7.95,43.3
-8.07,43.39
-5.77,40.3
-3.77,40.78
-5.03,43.29
-7.95,43.39
-6.36,43.01
-8.08,43.21
-6.64,42.2
-6.48,43.1
-6.37,42.92
-7.58,43.57
-6.01,43.13
-5.51,42.92
-5.65,40.31
-5.18,40.41
-6.72,43.29
-8.08,43.3
-7.09,43.11
-7.24,42.3
-4.78,43.2
-3.77,40.96
-5.52,43.1
-5.97,43.09
-5.39,42.92
-7.96,43.03
-7.09,43.2
-7.49,42.22
-6.34,43.46
-6.36,43.1
-5.27,43.11
-4.01,40.69
-5.28,43.38
-7.36,42.22
-6.76,42.3
-6.97,43.2
-6.76,42.12
-6.71,43.47
-7.08,43.47
-5.39,43.01
-8.2,43.4
-4.91,43.2
-4.01,40.78
-4.82,40.32
-4.91,43.29
-4.79,43.29
-6.87,42.39
-4.83,40.5
-5.52,43.01
-6.96,43.56
-6.84,43.47
-5.16,43.38
-4.66,43.21
-4.59,40.32
-6.97,43.29
-6.96,43.38
-5.4,43.1
-7.24,42.21
-4.71,40.32
-5.52,43.19
-6.96,43.47
-6.35,43.19
-5.97,42.99
-5.03,43.11
-5.63,42.92
-6.11,40.57
-6.39,42.29
-4.78,43.11
-4.13,40.78
-9.06,42.86
-7.09,43.29
-2.45,42.459999
-8.08,43.03
-3.89,40.87
-6.88,42.12
-6.84,43.38
-5.99,43.27
-7.35,42.67
-6.85,43.2
-7.21,43.38
-4.91,43.11
-5.28,43.2
-3.89,40.96
-5.29,43.47
-6.6,43.28
-4.65,42.94
-7.21,43.29
-6.02,42.99
-5.16,43.47